land,rb,kreis,vb,gemeindename,_ars_gemeinde,kennzeichen,flaeche_km2,bev_geseamt,bev_maennl,bev_weibl,bev_pro_km2,plz,longitude,latitude,reisegebiet_name,urbanisierung_cat
Schleswig-Holstein,,"Flensburg, Stadt","Flensburg, Stadt","Flensburg, Stadt",010010000000,Kreisfreie Stadt,53.02,90164,44904,45260,1701,24937,"9,43751","54,78252",Ostsee,dicht besiedelt
Schleswig-Holstein,,"Kiel, Landeshauptstadt","Kiel, Landeshauptstadt","Kiel, Landeshauptstadt",010020000000,Kreisfreie Stadt,118.65,246794,120198,126596,2080,24103,"10,13727","54,321775",Ostsee,dicht besiedelt
Schleswig-Holstein,,"Lübeck, Hansestadt","Lübeck, Hansestadt","Lübeck, Hansestadt",010030000000,Kreisfreie Stadt,214.19,216530,104032,112498,1011,23552,"10,683932","53,866269",Ostsee,dicht besiedelt
Schleswig-Holstein,,"Neumünster, Stadt","Neumünster, Stadt","Neumünster, Stadt",010040000000,Kreisfreie Stadt,71.66,80196,39723,40473,1119,24534,"9,988422","54,069895",übrig. Schleswig-Holstein,dicht besiedelt
Schleswig-Holstein,,Dithmarschen,"Brunsbüttel, Stadt","Brunsbüttel, Stadt",010510011011,Stadt,65.21,12380,6240,6140,190,25541,"9,13735","53,896932",Nordsee,mittlere Besiedlungsdichte
Schleswig-Holstein,,Dithmarschen,"Heide, Stadt","Heide, Stadt",010510044044,Stadt,31.97,21852,10435,11417,684,25746,"9,091156","54,193962",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Averlak,010515163003,Kreisangehörige Gemeinde,9.06,554,288,266,61,25715,"9,182663","53,941154",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Brickeln,010515163010,Kreisangehörige Gemeinde,6.07,212,114,98,35,25712,"9,221166","54,00849",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Buchholz,010515163012,Kreisangehörige Gemeinde,14.56,998,520,478,69,25712,"9,223774","53,987132",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Burg (Dithmarschen),010515163016,Kreisangehörige Gemeinde,11.25,4159,2033,2126,370,25712,"9,26246","53,99748",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Dingen,010515163022,Kreisangehörige Gemeinde,7.01,627,329,298,89,25715,"9,125804","53,960888",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Eddelak,010515163024,Kreisangehörige Gemeinde,9.21,1330,669,661,144,25715,"9,137433","53,945888",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Eggstedt,010515163026,Kreisangehörige Gemeinde,12.79,756,396,360,59,25721,"9,25927","54,054535",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Frestedt,010515163032,Kreisangehörige Gemeinde,10.33,350,182,168,34,25727,"9,175759","54,023639",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Großenrade,010515163037,Kreisangehörige Gemeinde,10.4,454,230,224,44,25712,"9,223435","54,02206",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Hochdonn,010515163051,Kreisangehörige Gemeinde,5.46,1059,531,528,194,25712,"9,293145","54,019564",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Kuden,010515163064,Kreisangehörige Gemeinde,11.37,601,307,294,53,25712,"9,192822","53,967853",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Quickborn,010515163089,Kreisangehörige Gemeinde,6.95,189,94,95,27,25712,"9,206618","54,009984",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Sankt Michaelisdonn,010515163097,Kreisangehörige Gemeinde,23.06,3399,1665,1734,147,25693,"9,122148","53,994438",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Burg-St. Michaelisdonn,Süderhastedt,010515163110,Kreisangehörige Gemeinde,15.74,755,373,382,48,25727,"9,20886","54,04991",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Diekhusen-Fahrstedt,010515166021,Kreisangehörige Gemeinde,7.46,683,330,353,92,25709,"9,023165","53,946249",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Friedrichskoog,010515166034,Kreisangehörige Gemeinde,53.27,2539,1283,1256,48,25718,"8,89741","54,013926",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Helse,010515166046,Kreisangehörige Gemeinde,11.44,828,421,407,72,25709,"9,010226","53,977556",übrig. Schleswig-Holstein,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Kaiser-Wilhelm-Koog,010515166057,Kreisangehörige Gemeinde,13.05,348,179,169,27,25709,"8,926364","53,942933",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Kronprinzenkoog,010515166062,Kreisangehörige Gemeinde,28.84,803,411,392,28,25709,"8,964528","53,97171",Nordsee,gering besiedelt
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,"Marne, Stadt",010515166072,Stadt,4.83,5951,2865,3086,1232,25709,"9,008761","53,953695",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
Schleswig-Holstein,,Dithmarschen,Marne-Nordsee,Marnerdeich,010515166073,Kreisangehörige Gemeinde,1.31,396,209,187,302,25709,"8,982956","53,948483",übrig. Schleswig-Holstein,mittlere Besiedlungsdichte
